Crop_Year,State_Name,Crop,Season,Production,Area
1997,Tamil Nadu,Sugarcane,Whole Year,307019,282.845
2014,Uttar Pradesh,Sugarcane,Kharif,146576.786,2228.261
2013,Uttar Pradesh,Sugarcane,Kharif,142045.762,2228.08
2012,Uttar Pradesh,Sugarcane,Kharif,137904.315,2211.712
2006,Uttar Pradesh,Sugarcane,Kharif,133949.379,2246.52
2011,Uttar Pradesh,Sugarcane,Kharif,128818.743,2162.404
2005,Uttar Pradesh,Sugarcane,Kharif,125469.871,2155.791
2007,Uttar Pradesh,Sugarcane,Kharif,124665.288,2178.987
2004,Uttar Pradesh,Sugarcane,Kharif,121755.62,2002.32
2002,Uttar Pradesh,Sugarcane,Whole Year,120948.041,2148.981
2010,Uttar Pradesh,Sugarcane,Kharif,120544.784,2124.85
2001,Uttar Pradesh,Sugarcane,Whole Year,117981.573,2034.883
2003,Uttar Pradesh,Sugarcane,Whole Year,117566.725,2110.126
2009,Uttar Pradesh,Sugarcane,Kharif,117139.919,1977.324
1997,Uttar Pradesh,Sugarcane,Whole Year,113947.458,1871.316
1998,Uttar Pradesh,Sugarcane,Whole Year,109489.138,1862.183
2008,Uttar Pradesh,Sugarcane,Kharif,109047.67,2084.179
1999,Uttar Pradesh,Sugarcane,Whole Year,108577.182,1896.965
2000,Uttar Pradesh,Sugarcane,Whole Year,106067.503,1938.366
2014,Maharashtra,Sugarcane,Whole Year,91538.1,1029.5
2011,Maharashtra,Sugarcane,Whole Year,89456.1,1022
2010,Maharashtra,Sugarcane,Kharif,85691.5,964.5
2013,Maharashtra,Sugarcane,Whole Year,83954,937.1
2012,Maharashtra,Sugarcane,Whole Year,75335,938.1
2009,Maharashtra,Sugarcane,Kharif,64159.3,755.9
2008,Maharashtra,Sugarcane,Kharif,60648.9,768.4
2008,Maharashtra,Sugarcane,Whole Year,60648.3,768.4
1999,Maharashtra,Sugarcane,Whole Year,53140.4,590.1
2000,Maharashtra,Sugarcane,Whole Year,49568.7,595.3
2006,Tamil Nadu,Sugarcane,Whole Year,48037.332,391.201
1998,Maharashtra,Sugarcane,Kharif,47151.1,529.8
1998,Tamil Nadu,Sugarcane,Whole Year,46672.8,347.91
2001,Maharashtra,Sugarcane,Whole Year,45139.8,578.2
2014,Karnataka,Sugarcane,Whole Year,43838.057,480.222
2000,Karnataka,Sugarcane,Whole Year,42923.496,417.141
2002,Maharashtra,Sugarcane,Whole Year,42617,573.1
2010,Karnataka,Sugarcane,Whole Year,42276.713,436.798
2011,Karnataka,Sugarcane,Whole Year,39470.478,431.405
2011,Tamil Nadu,Sugarcane,Whole Year,38974.842,346.35
2005,Maharashtra,Sugarcane,Kharif,38813.7,500.7
2007,Tamil Nadu,Sugarcane,Whole Year,38070.965,354.022
2013,Karnataka,Sugarcane,Whole Year,38042.382,420.022
1999,Karnataka,Sugarcane,Whole Year,37397.876,371.332
2012,Karnataka,Sugarcane,Whole Year,35510.714,425.393
1999,Tamil Nadu,Sugarcane,Whole Year,35501.817,332.332
2005,Tamil Nadu,Sugarcane,Whole Year,35113.269,335.397
2010,Tamil Nadu,Sugarcane,Whole Year,34251.796,315.961
2000,Tamil Nadu,Sugarcane,Whole Year,34062.855,317.473
2012,Tamil Nadu,Sugarcane,Whole Year,34014.097,348.379
2001,Karnataka,Sugarcane,Whole Year,33016.618,406.95
2008,Tamil Nadu,Sugarcane,Whole Year,32798.888,308.8
2001,Tamil Nadu,Sugarcane,Whole Year,32614.9,321.173
2002,Karnataka,Sugarcane,Whole Year,32485.308,382.719
2013,Tamil Nadu,Sugarcane,Whole Year,32454.135,313.343
2009,Karnataka,Sugarcane,Whole Year,32285.023,336.521
2011,Uttar Pradesh,Wheat,Rabi,31892.48,9731.15
2013,Uttar Pradesh,Wheat,Rabi,31492.656,9839.197
2012,Uttar Pradesh,Wheat,Rabi,31332.434,9733.617
2010,Uttar Pradesh,Wheat,Rabi,30000.632,9636.54
2009,Tamil Nadu,Sugarcane,Whole Year,29758.209,293.329
1997,Karnataka,Sugarcane,Whole Year,28999.269,308.857
2008,Uttar Pradesh,Wheat,Rabi,28554.178,9513.039
2009,Uttar Pradesh,Wheat,Rabi,27518.022,9668.152
2003,Uttar Pradesh,Wheat,Rabi,26349.91,9443.104
2007,Karnataka,Sugarcane,Whole Year,26028.309,307.084
2007,Uttar Pradesh,Wheat,Rabi,25679.089,9114.88
2003,Maharashtra,Sugarcane,Whole Year,25668.4,442.5
2001,Uttar Pradesh,Wheat,Rabi,25498.002,9255.937
2006,Uttar Pradesh,Wheat,Rabi,25443.428,9197.642
1999,Uttar Pradesh,Wheat,Rabi,25253.437,8994.071
2000,Uttar Pradesh,Wheat,Rabi,25168.332,9239.311
2004,Tamil Nadu,Sugarcane,Whole Year,24457.244,222.188
2008,Karnataka,Sugarcane,Whole Year,24266.201,281.1
2002,Tamil Nadu,Sugarcane,Whole Year,24165.39,261.416
2004,Maharashtra,Sugarcane,Whole Year,23913.7,326.9
2002,Uttar Pradesh,Wheat,Rabi,23745.162,9162.749
2006,Karnataka,Sugarcane,Whole Year,23641.948,269.44
2005,Uttar Pradesh,Wheat,Rabi,23573.776,9163.949
2004,Uttar Pradesh,Wheat,Rabi,23430.044,9373.402
1998,Uttar Pradesh,Wheat,Rabi,22781.016,8931.207
1997,Uttar Pradesh,Wheat,Rabi,22144.361,8769.964
2014,Uttar Pradesh,Wheat,Rabi,20054.791,9846.466
2005,Karnataka,Sugarcane,Whole Year,19647.65,221.462
2003,Tamil Nadu,Sugarcane,Whole Year,19529.277,192.069
2011,Punjab,Wheat,Rabi,17982,3528
2005,Gujarat,Sugarcane,Whole Year,17786,213.2
2013,Punjab,Wheat,Rabi,17620,3512
2006,Andhra Pradesh,Sugarcane,Whole Year,16805.897,207.001
2012,Punjab,Wheat,Rabi,16614,3517
2006,Gujarat,Sugarcane,Whole Year,16554,216.1
2012,Madhya Pradesh,Wheat,Rabi,16510.524,5601.025
2010,Punjab,Wheat,Rabi,16472,3510
2003,Karnataka,Sugarcane,Whole Year,16015.44,243.341
1999,Punjab,Wheat,Rabi,15910,3388
2008,Punjab,Wheat,Rabi,15733,3466
2013,Madhya Pradesh,Wheat,Rabi,15722.722,6123.044
2007,Punjab,Wheat,Rabi,15720,3488
2000,Punjab,Wheat,Rabi,15551,3408
2008,Gujarat,Sugarcane,Whole Year,15512,221.3
2001,Punjab,Wheat,Rabi,15499,3420
2014,Bihar,Sugarcane,Whole Year,15498.951,254.338
2007,Gujarat,Sugarcane,Whole Year,15190,211
2009,Punjab,Wheat,Rabi,15169,3522
2007,Andhra Pradesh,Sugarcane,Whole Year,15159,187
2014,Punjab,Wheat,Rabi,15050,3505
2004,Punjab,Wheat,Rabi,14698,3482
1999,Andhra Pradesh,Sugarcane,Whole Year,14671.879,174.46
2006,Punjab,Wheat,Rabi,14596,3467
2013,Uttar Pradesh,Rice,Kharif,14565.665,5955.306
2004,Gujarat,Sugarcane,Whole Year,14558,196.6
2011,Madhya Pradesh,Wheat,Rabi,14537.038,5248.479
2005,Punjab,Wheat,Rabi,14493,3468
2003,Punjab,Wheat,Rabi,14489,3444
1998,Punjab,Wheat,Rabi,14460,3338
2012,Uttar Pradesh,Rice,Kharif,14353.736,5837.298
2002,Punjab,Wheat,Rabi,14175,3375
2002,Gujarat,Sugarcane,Whole Year,14069,202.9
1999,Gujarat,Sugarcane,Whole Year,14065,201.4
2011,Uttar Pradesh,Rice,Kharif,13962.896,5922.643
2014,West Bengal,Potato,Rabi,13878.709,409.805
2009,West Bengal,Potato,Rabi,13807.997,384.451
2010,Gujarat,Sugarcane,Whole Year,13763,190.1
2010,Uttar Pradesh,Potato,Rabi,13576.573,556.533
1998,Gujarat,Sugarcane,Whole Year,13565,196.3
2000,Andhra Pradesh,Sugarcane,Whole Year,13558.629,172.211
2009,Uttar Pradesh,Potato,Rabi,13447.272,540.797
2010,West Bengal,Potato,Rabi,13391.235,406.349
2001,Andhra Pradesh,Sugarcane,Whole Year,13383.359,163.01
2012,Uttar Pradesh,Potato,Rabi,13336.619,547.66
2009,Gujarat,Sugarcane,Whole Year,13304,190.3
2014,Uttar Pradesh,Rice,Kharif,13241.518,5842.029
2005,Andhra Pradesh,Sugarcane,Whole Year,13236.997,180.338
2011,Haryana,Wheat,Rabi,13119,2531.302
2008,Uttar Pradesh,Rice,Kharif,13051.365,6011.761
2014,Uttar Pradesh,Potato,Rabi,12986.412,575.668
2013,Bihar,Sugarcane,Whole Year,12881.781,258.068
2001,Uttar Pradesh,Rice,Kharif,12849.116,6068.496
