State_Name,District_Name,Crop
Andaman and Nicobar Islands,NICOBARS,Arecanut
Andaman and Nicobar Islands,NICOBARS,Other Kharif pulses
Andaman and Nicobar Islands,NICOBARS,Rice
Andaman and Nicobar Islands,NICOBARS,Banana
Andaman and Nicobar Islands,NICOBARS,Cashewnut
Andaman and Nicobar Islands,NICOBARS,Coconut 
Andaman and Nicobar Islands,NICOBARS,Dry ginger
Andaman and Nicobar Islands,NICOBARS,Sugarcane
Andaman and Nicobar Islands,NICOBARS,Sweet potato
Andaman and Nicobar Islands,NICOBARS,Tapioca
Andaman and Nicobar Islands,NICOBARS,Black pepper
Andaman and Nicobar Islands,NICOBARS,Dry chillies
Andaman and Nicobar Islands,NICOBARS,other oilseeds
Andaman and Nicobar Islands,NICOBARS,Turmeric
Andaman and Nicobar Islands,NICOBARS,Maize
Andaman and Nicobar Islands,NICOBARS,Moong(Green Gram)
Andaman and Nicobar Islands,NICOBARS,Urad
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Arecanut
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Other Kharif pulses
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Rice
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Banana
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Cashewnut
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Coconut 
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Dry ginger
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,other oilseeds
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Sugarcane
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Sweet potato
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Tapioca
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Black pepper
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Dry chillies
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Turmeric
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Arhar/Tur
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Groundnut
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Maize
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Moong(Green Gram)
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Sunflower
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Urad
Andaman and Nicobar Islands,SOUTH ANDAMANS,Rice
Andaman and Nicobar Islands,SOUTH ANDAMANS,Arecanut
Andaman and Nicobar Islands,SOUTH ANDAMANS,Banana
Andaman and Nicobar Islands,SOUTH ANDAMANS,Black pepper
Andaman and Nicobar Islands,SOUTH ANDAMANS,Cashewnut
Andaman and Nicobar Islands,SOUTH ANDAMANS,Coconut 
Andaman and Nicobar Islands,SOUTH ANDAMANS,Dry chillies
Andaman and Nicobar Islands,SOUTH ANDAMANS,Dry ginger
Andaman and Nicobar Islands,SOUTH ANDAMANS,other oilseeds
Andaman and Nicobar Islands,SOUTH ANDAMANS,Sugarcane
Andaman and Nicobar Islands,SOUTH ANDAMANS,Sweet potato
